Player,Game Week,Position,Team,League,Minutes,Rating
Ingvar Jónsson,J6,GK,KV,UEFA Europa Conference League,90,6.87
Matjaž Rozman,J6,GK,NK Celje,UEFA Europa Conference League,90,5.37
Connor Roberts,J6,GK,The New Saints,UEFA Europa Conference League,90,6.37
Yuri Lodygin,J6,GK,Panathinaikos,UEFA Europa Conference League,90,6.82
Fyodor Lapoukhov,J6,GK,Dinamo Minsk,UEFA Europa Conference League,90,5.86
Vid Belec,J6,GK,APOEL,UEFA Europa Conference League,90,6.63
Josip Condric,J6,GK,Astana FK,UEFA Europa Conference League,90,6.38
Ingvar Jónsson,J9,GK,KV,UEFA Europa Conference League,90,6.96
Yuri Lodygin,J9,GK,Panathinaikos,UEFA Europa Conference League,90,5.97
Ricardo Manuel Silva,J9,GK,NK Celje,UEFA Europa Conference League,90,5.86
Vid Belec,J9,GK,APOEL,UEFA Europa Conference League,90,5.81
Jacob Karlstrom,J9,GK,Molde,UEFA Europa Conference League,90,6.41
Ed McGinty,J9,GK,Shamrock Rov,UEFA Europa Conference League,90,7.26
Michele Di Gregorio,J23,GK,Juventus,Italian Serie A,90,6.27
Devis Vásquez,J23,GK,Empoli,Italian Serie A,90,5.32
Veljko Ilic,J9,GK,TSC Bačka Top,UEFA Europa Conference League,90,5.87
Sławomir Abramowicz,J9,GK,Jagiellonia,UEFA Europa Conference League,90,6.01
Davy Roef,J9,GK,Gent,UEFA Europa Conference League,90,5.6
Fran Vieites,J9,GK,Betis,UEFA Europa Conference League,90,7.07
Diant Ramaj,J9,GK,FC Copenhagen,UEFA Europa Conference League,90,6.92
Frank Feller,J9,GK,Heidenheim,UEFA Europa Conference League,90,6.89
Filip Manojlović,J9,GK,Borac Banja Luka,UEFA Europa Conference League,90,7.49
Matevž Vidovšek,J9,GK,Olimpija,UEFA Europa Conference League,90,6.97
Fabiano,J9,GK,AC Omonia,UEFA Europa Conference League,90,7.1
Ivica Ivušić,J9,GK,Pafos FC,UEFA Europa Conference League,90,6.15
Frank Feller,J10,GK,Heidenheim,UEFA Europa Conference League,90,6.07
Diant Ramaj,J10,GK,FC Copenhagen,UEFA Europa Conference League,90,6.97
Matevž Vidovšek,J10,GK,Olimpija,UEFA Europa Conference League,90,7.7
Filip Manojlović,J10,GK,Borac Banja Luka,UEFA Europa Conference League,90,7.52
Fran Vieites,J10,GK,Betis,UEFA Europa Conference League,90,6.07
Davy Roef,J10,GK,Gent,UEFA Europa Conference League,90,7.49
Ivica Ivušić,J10,GK,Pafos FC,UEFA Europa Conference League,90,6.85
Fabiano,J10,GK,AC Omonia,UEFA Europa Conference League,90,6.79
Ed McGinty,J10,GK,Shamrock Rov,UEFA Europa Conference League,90,6.35
Jacob Karlstrom,J10,GK,Molde,UEFA Europa Conference League,90,7.43
David de Gea,J23,GK,Fiorentina,Italian Serie A,90,6.79
Nicola Leali,J23,GK,Genoa,Italian Serie A,90,5.74
Sławomir Abramowicz,J10,GK,Jagiellonia,UEFA Europa Conference League,90,6.32
Veljko Ilic,J10,GK,TSC Bačka Top,UEFA Europa Conference League,90,5.73
Bartłomiej Drągowski,J10,GK,Panathinaikos,UEFA Europa Conference League,90,6.94
Ingvar Jónsson,J10,GK,KV,UEFA Europa Conference League,90,6.69
Vid Belec,J10,GK,APOEL,UEFA Europa Conference League,90,6.42
Ricardo Manuel Silva,J10,GK,NK Celje,UEFA Europa Conference League,90,7.62
Jacob Karlstrom,J11,GK,Molde,UEFA Europa Conference League,90,6.85
Vladen Kovačević,J11,GK,Legia Warsaw,UEFA Europa Conference League,90,5.87
Diant Ramaj,J11,GK,FC Copenhagen,UEFA Europa Conference League,90,5.52
Robert Sánchez,J11,GK,Chelsea,UEFA Europa Conference League,90,6.02
Fran Vieites,J11,GK,Betis,UEFA Europa Conference League,90,5.62
Bruno Varela,J11,GK,Vitória,UEFA Europa Conference League,90,6.23
Bartłomiej Drągowski,J11,GK,Panathinaikos,UEFA Europa Conference League,90,6.57
