Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
César,br BRA,GK,Boavista,32,1992,16,16,1440,43,42
Daniel,br BRA,GK,SJ Earthquakes,31-074,1994,19,19,1595,65,48
Daniel Azevedo,pt POR,GK,Casa Pia,26,1998,1,1,90,46,5
Daniel Bachmann,at AUT,GK,Watford,30,1994,22,22,1902,45,50
Daniel Bielica,pl POL,GK,NAC Breda,25,1999,32,32,2880,49,75
Daniel Figueira,pt POR,GK,Estoril,26,1998,1,1,90,20,34
Daniel Grimshaw,eng ENG,GK,Plymouth Argyle,26,1998,21,21,1890,35,55
Daniel Schmidt,jp JPN,GK,Gent,32,1992,1,1,90,88,39
David Bingham,us USA,GK,Charlotte,35-273,1989,2,2,180,79,22
David Cornell,wls WAL,GK,Preston,33,1991,10,9,811,28,74
David Ochoa,us USA,GK,LAFC,24-184,2001,1,1,90,24,22
David Ospina,co COL,GK,co Nacional,36-322,1988,5,5,450,58,78
Davor Matijas,hr CRO,GK,Beerschot,24,1999,10,9,852,29,35
Davy Roef,be BEL,GK,Gent,30,1994,26,26,2340,80,61
Dayne St. Clair,ca CAN,GK,Minnesota Utd,28-071,1997,19,19,1710,62,50
Demba Thiam,sn SEN,GK,Juve Stabia,26,1998,38,38,3420,71,62
Diant Ramaj,de GER,GK,Ajax,22,2001,1,1,90,63,25
Diego Enriquez,pe PER,GK,pe Sporting Cristal,23-176,2002,6,6,540,27,29
Diego Matías Rodríguez,ar ARG,GK,Arg Juniors,36-024,1989,17,17,1530,57,62
Diogo Costa,pt POR,GK,Porto,24,1999,32,32,2880,60,65
Drake Callender,us USA,GK,Inter Miami,27-285,1997,3,2,185,28,71
Earl Edwards Jr.,us USA,GK,SJ Earthquakes,33-176,1992,6,4,475,19,53
Edoardo Motta,it ITA,GK,Reggiana,19,2005,2,2,180,27,57
Eduardo García,mx MEX,GK,Guadalajara,22,2002,2,2,180,37,51
Egil Selvik,no NOR,GK,Watford,27,1997,16,16,1440,72,54
Elhan Kastrati,al ALB,GK,Cittadella,27,1997,29,29,2565,48,25
Emil Audero,id IDN,GK,Palermo,27,1997,14,14,1260,63,74
Enrique Bologna,ar ARG,GK,Defensa y Just,43-156,1982,17,17,1530,57,71
Esteban Andrada,ar ARG,GK,Monterrey,33,1991,24,24,2160,56,73
Ethan Horvath,us USA,GK,Cardiff City,29,1995,17,17,1530,23,33
Etienne Vaessen,sr SUR,GK,Groningen,29,1995,32,32,2880,56,69
Evan Bush,us USA,GK,Columbus Crew,39-135,1986,5,5,450,48,28
Ezequiel Centurión,ar ARG,GK,Ind. Rivadavia,28-060,1997,17,17,1530,63,49
Ezequiel Unsain,ar ARG,GK,Necaxa,29,1995,34,34,3060,45,60
Fabian de Keijzer,nl NED,GK,Heracles Almelo,24,2000,34,34,3060,33,67
Facundo Cambeses,ar ARG,GK,Racing Club,28-101,1997,5,4,421,33,23
Facundo Sanguinetti,ar ARG,GK,Banfield,24-140,2001,17,17,1530,62,46
Federico Lanzillota,ar ARG,GK,bo Bolívar,32-230,1992,3,3,270,29,40
Felipe Zenobio,ar ARG,GK,Tigre,25-058,2000,17,17,1530,71,41
Fernando Miguel,br BRA,GK,Ceará,40-167,1985,8,7,657,77,48
Fernando Muslera,uy URU,GK,Estudiantes–LP,39-033,1986,1,1,90,75,53
Fernando Tapia,mx MEX,GK,UANL,23,2001,3,3,270,77,48
Fernando de Paul,cl CHI,GK,cl Colo-Colo,34-085,1991,1,1,90,68,52
Francesco Bardi,it ITA,GK,Reggiana,32,1992,36,36,3240,36,31
Francesco Corriere,it ITA,GK,Salernitana,18,2006,1,0,47,10,77
Francisco Meixedo,pt POR,GK,Estrela,23,2001,1,0,45,73,87
Franco Armani,ar ARG,GK,ar River Plate,38-276,1986,23,23,2070,59,40
Franco Israel,uy URU,GK,Sporting CP,24,2000,11,11,990,34,31
Franco Petroli,ar ARG,GK,Godoy Cruz,27-038,1998,17,17,1530,66,78
Freddie Woodman,eng ENG,GK,Preston,27,1997,37,37,3329,45,85
Fábio,br BRA,GK,Fluminense,44-292,1980,12,12,1080,40,25
Gabriel,br BRA,GK,Vitória,32-295,1992,2,2,180,7,14
