Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Emanuel Mammana,ar ARG,DF,ar Vélez Sarsfield,29-159,1996,12,11,943,23,53,46,68
Emanuel Poku,nl NED,FW,Almere City,19,2005,4,0,145,27,22,60,25
Emanuel Reynoso,ar ARG,MO,Tijuana,28,1995,35,22,1923,71,90,81,67
Emanuel Vignato,it ITA,MF,Pisa,23,2000,11,5,458,53,69,84,48
Emanuele Adamo,it ITA,MF,Cesena,26,1998,33,22,2067,70,42,80,40
Emanuele Pecorino,it ITA,FW,Frosinone,23,2001,20,5,675,40,42,54,74
Emanuele Zuelli,it ITA,MF,Carrarese,22,2001,33,24,2061,58,63,51,25
Emeka Eneli,us USA,MF,Real Salt Lake,25-274,1999,16,12,1177,35,57,60,40
Emerson Galego,br BRA,MO,Juventude,25-343,1999,2,0,27,26,9,33,11
Emerson Pata,ec ECU,MO,ec Independiente,21-008,2004,2,0,68,49,31,40,36
Emil Audero,id IDN,GK,Palermo,27,1997,14,14,1260,49,39,45,47
Emil Bohinen,no NOR,MF,Frosinone,25,1999,12,12,1012,73,52,36,58
Emil Forsberg,se SWE,MF,NY Red Bulls,33-269,1991,22,22,1899,85,72,68,18
Emil Riis Jakobsen,dk DEN,FW,Preston,26,1998,45,29,2716,63,37,53,56
Emile Dorval,fr FRA,DF,Bari,23,2001,37,37,3091,90,71,90,39
Emiliano Amor,sy SYR,DF,cl Colo-Colo,30-064,1995,5,4,294,30,16,13,28
Emiliano Ancheta,uy URU,DF,uy Nacional,26-040,1999,4,3,267,63,75,81,61
Emiliano Chiavassa,ar ARG,FW,ar Talleres,19-198,2006,1,0,7,47,44,19,59
Emiliano Gómez,uy URU,MO,Puebla,22,2001,26,23,2054,52,24,55,23
Emiliano Marcondes,dk DEN,MO,Norwich City,29,1995,33,25,2280,51,71,27,63
Emiliano Martínez,uy URU,MF,Palmeiras,25-336,1999,15,12,1050,61,39,36,73
Emiliano Rigoni,ar ARG,MO,León,31,1993,13,6,478,57,66,72,47
Emiliano Viveros,ar ARG,MO,Arg Juniors,22-292,2002,9,6,494,66,66,48,67
Emilio Kehrer,de GER,MO,Willem II,22,2002,23,9,979,43,48,51,65
Emilio Lara,mx MEX,DF,América,22,2002,25,22,2021,46,51,52,51
Emilio Martínez González,mx MEX,DF,Necaxa,21,2003,14,10,832,35,40,32,46
Emilio Santillán,mx MEX,DF,Santos,20,2003,1,1,74,35,18,65,25
Emin Bayram,tr TUR,DF,Westerlo,21,2003,21,17,1503,64,66,55,59
Emir Ortakaya,tr TUR,DF,Westerlo,20,2004,3,1,153,40,29,11,38
Emmanouil Siopis,gr GRE,MF,Cardiff City,30,1994,21,16,1444,24,33,29,68
Emmanuel Boateng,gh GHA,FW,San Diego FC,31-183,1994,9,0,176,31,38,69,66
Emmanuel Dennis,ng NGA,MO,Blackburn,26,1997,6,1,160,37,69,82,56
Emmanuel Echeverría,mx MEX,DF,Santos,20,2003,28,23,2158,67,51,82,39
Emmanuel Kakou,ci CIV,DF,Cercle Brugge,19,2005,17,14,1264,68,46,41,64
Emmanuel Latte Lath,ci CIV,FW,Atlanta Utd,26-199,1999,50,39,3384,64,54,52,63
Emmanuel Sabbi,us USA,FW,Vancouver W'caps,27-207,1997,17,12,1002,73,64,70,64
Emmanuele Matino,it ITA,DF,Cittadella,25,1998,6,4,380,25,26,23,45
Emmerson Sutton,eng ENG,FW,QPR,17,2006,2,0,56,21,42,65,56
Emre Tezgel,eng ENG,MO,Stoke City,18,2005,12,2,298,24,29,18,44
Enda Stevens,ie IRL,DF,Stoke City,34,1990,18,13,1194,54,79,76,59
Enea Mihaj,al ALB,DF,Famalicão,26,1998,29,29,2533,26,44,31,46
Enes Mahmutovic,lu LUX,DF,NAC Breda,27,1997,10,9,711,34,35,24,60
Enmerson Batalla,co COL,MO,Juventude,24-019,2001,12,11,880,58,35,41,50
Enner Valencia,ec ECU,FW,Internacional,35-257,1989,13,8,678,40,29,57,44
Enock Agyei,be BEL,MO,Burnley,19,2005,3,0,58,29,72,95,35
Enric Llansana,nl NED,MF,Go Ahead Eag,23,2001,33,31,2719,74,69,44,86
Enrico Baldini,it ITA,MF,Cittadella,27,1996,1,0,12,42,34,65,6
Enrico Brignola,it ITA,DF,Catanzaro,25,1999,6,2,230,48,50,87,38
Enrico Piovanello,it ITA,MF,Juve Stabia,24,2000,2,0,51,55,64,57,52
Enrique Bologna,ar ARG,GK,Defensa y Just,43-156,1982,17,17,1530,65,77,45,48
Enrique Flores,bo BOL,DF,bo San Antonio Bulo Bulo,31-168,1994,5,5,438,55,50,78,20
Enzo Copetti,ar ARG,FW,Rosario Central,29-184,1996,17,12,1130,46,47,35,71
Enzo Díaz,ar ARG,DF,São Paulo,29-224,1995,19,14,1370,53,86,82,72
Enzo Giménez,py PAR,MF,Rosario Central,27-152,1998,10,4,375,77,63,72,84
Enzo Le Fée,fr FRA,MO,Sunderland,24,2000,15,11,1001,60,73,83,81
Enzo Martín Roldán,ar ARG,MF,Platense,24-223,2000,5,0,81,28,18,46,84
Enzo Pérez,ar ARG,MF,ar River Plate,39-147,1986,21,18,1456,31,45,21,73
Enzo Taborda,ar ARG,FW,Independiente,20-060,2005,1,1,90,44,22,79,80
Eom Jisung,kr KOR,MO,Swansea City,22,2002,37,28,2287,47,52,53,62
Ephron Mason-Clark,eng ENG,MO,Coventry City,24,1999,30,17,1630,64,60,76,46
Eric Bocat,fr FRA,DF,Stoke City,25,1999,30,23,2041,48,68,79,54
Eric Botteghin,br BRA,DF,Modena,36,1987,5,3,231,34,24,28,67
Eric Joel Tovo,ar ARG,DF,Deportivo Riestra,33-135,1992,4,3,199,40,18,15,44
