Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
br BRA,MF,Fulham,28,1996,33,25,2013,75,73,62,22
no NOR,FW,pt Benfica,20,2004,7,6,402,42,65,66,64
dk DEN,MO,Wolfsburg,24,1999,18,9,901,56,74,66,54
ro ROU,MO,ro FCSB,22,2002,4,0,147,69,43,66,34
ro ROU,DF,Rayo Vallecano,26,1998,35,34,3065,80,76,85,43
rs SRB,FW,Union Berlin,24,2000,16,11,937,60,32,33,50
hr CRO,MO,Hoffenheim,33,1991,38,38,3247,66,78,55,24
es ESP,DF,es Barcelona,17,2007,1,0,7,22,31,28,46
ie IRL,DF,Strasbourg,22,2002,10,6,539,24,23,29,49
sct SCO,DF,Liverpool,30,1994,41,35,3032,61,85,76,27
br BRA,MF,Strasbourg,20,2004,32,32,2855,69,60,39,78
is ISL,MF,se Elfsborg,22,2002,3,2,194,41,62,24,91
is ISL,FW,be Gent,22,2002,8,6,507,26,65,18,52
rs SRB,MO,rs Red Star,17,2007,7,6,414,28,55,31,28
me MNE,MO,at Rapid Wien,22,2002,3,1,81,22,50,44,65
rs SRB,FW,gr PAOK,28,1996,7,6,541,52,91,70,78
ua UKR,GK,Real Madrid,25,1999,9,9,810,53,65,41,46
ua UKR,FW,ua Dynamo Kyiv,34,1989,3,2,197,69,62,58,63
cy CYP,FW,cy AC Omonia,23,2001,8,5,507,61,54,38,55
hu HUN,MF,Union Berlin,25,1999,26,17,1534,52,45,50,73
br BRA,MF,Wolves,23,2001,33,31,2472,27,43,32,64
gh GHA,FW,Le Havre,34,1989,27,15,1453,36,39,22,64
pt POR,GK,Valladolid,28,1996,6,6,540,51,41,40,39
pt POR,MF,pt Porto,26,1998,2,0,18,58,78,42,6
pt POR,MF,Lille,31,1993,22,16,1298,36,64,55,32
pt POR,MF,gr Olympiacos,27,1996,6,3,290,46,73,75,60
cm CMR,GK,Manchester Utd,28,1996,47,47,4260,48,61,68,66
pt POR,FW,Werder Bremen,28,1995,19,5,593,67,73,54,57
es ESP,MF,Aston Villa,21,2003,7,5,318,38,56,83,45
de GER,MF,Holstein Kiel,21,2002,8,2,288,82,72,54,40
dz ALG,FW,Montpellier,32,1991,9,8,607,30,39,31,54
fr FRA,MF,Lens,21,2003,34,27,2225,65,66,77,39
sct SCO,MF,West Ham,24,2000,10,1,166,42,49,46,61
fr FRA,DF,Las Palmas,24,2000,7,3,334,38,50,51,59
sct SCO,FW,nir Larne FC,29,1994,5,5,404,33,45,36,44
ml MLI,MF,Reims,17,2006,6,2,171,49,34,56,68
fr FRA,FW,Parma,20,2003,37,30,2529,50,63,58,53
eng ENG,MF,Lille,23,2000,18,13,895,82,77,72,19
es ESP,DF,Roma,27,1997,49,47,4167,86,81,76,28
fr FRA,MO,Lens,27,1996,23,11,1045,60,81,66,46
de GER,MF,Stuttgart,23,2001,40,39,3434,68,92,69,37
cy CYP,FW,cy AC Omonia,19,2005,1,0,15,17,58,30,21
dz ALG,MO,nl Feyenoord,22,2002,11,8,783,61,38,64,30
be BEL,MF,be Union SG,22,2002,7,2,311,61,87,88,13
jp JPN,DF,Stuttgart,20,2004,17,8,892,34,45,43,44
de GER,MF,Eint Frankfurt,22,2002,41,25,2194,83,66,78,45
es ESP,FW,Barcelona,21,2002,10,3,274,56,72,85,47
hu HUN,DF,es Girona,20,2004,1,1,90,37,22,13,48
hr CRO,FW,Osasuna,33,1991,38,34,2952,66,37,25,49
hr CRO,MO,Lecce,30,1993,27,7,788,53,55,47,54
fr FRA,DF,Saint-Étienne,29,1994,1,0,1,22,13,9,3
fr FRA,DF,Mainz 05,27,1997,33,33,2684,80,83,74,50
se SWE,MO,Nott'ham Forest,22,2002,38,31,2501,65,61,59,38
eng ENG,MO,Newcastle Utd,23,2001,34,28,2434,69,73,72,38
de GER,DF,Werder Bremen,32,1991,28,20,1898,29,52,58,56
pt POR,GK,Nantes,33,1990,18,18,1563,47,40,43,60
fr FRA,MF,Bochum,38,1986,21,13,1137,27,37,20,69
lu LUX,GK,be Union SG,34,1990,10,10,930,55,66,46,39
sct SCO,DF,sct Celtic,25,1998,3,0,64,48,47,56,85
fr FRA,DF,Stuttgart,23,2001,36,32,2804,58,59,44,54
ch SUI,MF,ch Lugano,27,1996,8,8,715,36,76,31,26
fr FRA,MF,Hellas Verona,25,1999,14,7,594,67,52,50,50
fr FRA,MO,Atlético Madrid,33,1991,48,38,3197,67,79,55,46
fr FRA,MF,Parma,22,2002,25,10,1206,61,41,55,63
fr FRA,MO,Le Havre,21,2003,26,9,943,40,57,74,69
cg CGO,MF,Cagliari,26,1998,33,27,2150,26,50,33,41
sn SEN,DF,Nice,20,2004,21,11,1078,54,53,64,65
gh GHA,FW,Bournemouth,24,2000,37,36,3203,72,75,81,75
dk DEN,DF,nl Ajax,21,2002,10,4,507,54,60,80,61
bg BUL,DF,bg Ludogorets,31,1993,2,2,149,47,45,52,52
de GER,MF,Hoffenheim,25,1998,36,35,3103,60,64,52,78
us USA,DF,Fulham,26,1997,36,35,3167,58,80,86,66
nl NED,MF,nl Feyenoord,19,2005,9,9,762,72,46,48,44
it ITA,DF,Lecce,24,2000,31,31,2609,53,71,67,51
es ESP,MF,Alavés,24,2000,35,32,2727,29,52,33,56
it ITA,DF,Venezia,24,2000,26,24,1914,43,58,58,43
hr CRO,MO,si Olimpija,23,2001,4,0,110,27,32,67,61
no NOR,MF,RB Leipzig,19,2005,33,22,2076,77,62,81,35
es ESP,DF,Mallorca,32,1991,36,36,3207,64,47,47,47
it ITA,MO,Venezia,20,2004,9,0,94,37,31,42,33
de GER,DF,Real Madrid,31,1993,42,39,3478,62,54,46,33
py PAR,FW,Torino,28,1996,26,16,1318,33,47,32,46
es ESP,GK,Alavés,27,1996,32,32,2810,64,71,48,71
es ESP,MF,Mallorca,27,1997,33,12,1395,36,30,58,45
de GER,DF,ch Lugano,24,1999,7,7,629,70,51,46,51
es ESP,MO,Espanyol,21,2002,26,13,1022,21,36,54,56
br BRA,MF,Manchester Utd,24,2000,38,25,2398,94,76,88,31
cz CZE,MF,Fiorentina,29,1994,1,1,54,67,61,61,13
cz CZE,GK,Tottenham,21,2003,12,12,1080,47,66,76,71
pt POR,DF,pt Benfica,20,2003,9,8,725,40,28,22,38
ma MAR,MO,Valladolid,29,1995,26,21,1720,31,24,17,77
gr GRE,DF,gr Olympiacos,21,2002,1,1,45,49,57,63,34
dk DEN,MO,dk Midtjylland,22,2002,7,7,476,49,88,85,38
xk KVX,FW,se Elfsborg,29,1995,7,7,457,26,51,52,57
al ALB,MF,hr Dinamo Zagreb,25,1998,5,0,65,39,17,85,36
eng ENG,MF,be Gent,22,2002,8,4,395,80,35,77,78
eng ENG,MF,Tottenham,18,2006,39,28,2592,24,32,36,48
tr TUR,MO,Real Madrid,19,2005,35,15,1397,70,93,65,58
