Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Leon Goretzka,Bayern Munich,"German Bundesliga, UEFA Champions League",DM,Midfielder,GER,30,82.1,927,19,4.32
Leon Grgic,Sturm Graz,UEFA Europa League,AM,Forward,CRO,19,9.6,76,4,2.4
Leonardo Balerdi,Marseille,"French Ligue 1, UEFA Champions League",CB,Defender,ARG,26,79.7,1135,16,4.98
Leonardo Bittencourt,Werder Bremen,German Bundesliga,DM,Midfielder,GER,31,31.3,197,8,3.91
Leonardo Lelo,Braga,UEFA Europa League,WB,Midfielder,POR,25,27.5,384,5,5.5
Leonardo Pavoletti,Cagliari,Italian Serie A,AM,Forward,ITA,37,8.1,96,7,1.16
Leonardo Spinazzola,Napoli,"Italian Serie A, UEFA Champions League",LB,Defender,ITA,32,79.1,1041,17,4.65
Leopold Querfeld,Union Berlin,German Bundesliga,CB,Defender,AUT,22,59.4,1350,15,3.96
Lequincio Zeefuik,AZ Alkmaar,UEFA Europa Conference League,AM,Forward,NED,21,7.4,47,3,2.47
Leroy Sané,Galatasaray,UEFA Champions League,RW,Forward,GER,29,31.5,426,5,6.3
Lesley Ugochukwu,Burnley,English Premier League,CM,Midfielder,FRA,21,70.6,1195,19,3.72
Lev Kurgin,Qaırat Almaty,UEFA Champions League,LB,Defender,KAZ,23,1.9,11,1,1.9
Levent Mercan,Fenerbahçe,UEFA Europa League,LB,Defender,GER,25,11.5,61,2,5.75
Lewis Cook,Bournemouth,English Premier League,DM,Midfielder,ENG,28,38.9,412,10,3.89
Lewis Dunk,Brighton,English Premier League,CB,Defender,ENG,34,98.4,1665,19,5.18
Lewis Ferguson,Bologna,"Italian Serie A, UEFA Europa League",DM,Midfielder,SCO,26,60.5,1093,16,3.78
Lewis Hall,Newcastle Utd,"English Premier League, UEFA Champions League",LB,Defender,ENG,21,89.3,1019,17,5.25
Lewis Miley,Newcastle Utd,"English Premier League, UEFA Champions League",CM,Midfielder,ENG,19,86.6,1142,21,4.12
Lewis Temple,Shelbourne FC,UEFA Europa Conference League,CB,Defender,IRL,20,7.1,63,3,2.37
Liam Delap,Chelsea,"English Premier League, UEFA Champions League",AM,Forward,ENG,22,45.4,562,13,3.49
Liam Scales,Celtic,UEFA Europa League,CB,Defender,IRL,27,29.6,540,6,4.93
Lilian Brassier,Rennes,French Ligue 1,CB,Defender,FRA,26,59.5,998,12,4.96
Lilian Raolisoa,Angers,French Ligue 1,RW,Forward,FRA,25,73.9,840,16,4.62
Linton Maina,Köln,German Bundesliga,AM,Forward,GER,26,32.3,283,9,3.59
Liridon Balaj,KF Drita,UEFA Europa Conference League,AM,Forward,KVX,26,11.8,212,5,2.36
Liridon Latifi,Shkëndija 79,UEFA Europa Conference League,LW,Forward,ALB,31,30.8,449,7,4.4
Lisandro Martínez,Manchester Utd,English Premier League,CB,Defender,ARG,27,35.5,368,8,4.44
Livan Burcu,Union Berlin,German Bundesliga,AM,Forward,TUR,21,11.1,40,2,5.55
Llazaros Rota,AEK Athens,UEFA Europa Conference League,RB,Defender,GRE,28,34.2,525,6,5.7
Lloyd Kelly,Juventus,"Italian Serie A, UEFA Champions League",CB,Defender,ENG,27,100.5,1890,21,4.79
Logi Tómasson,Samsunspor,UEFA Europa Conference League,LB,Defender,ISL,25,31.1,502,6,5.18
Lohann Doucet,Paris FC,French Ligue 1,CM,Midfielder,FRA,23,15.0,121,5,3.0
Lorenz Assignon,Stuttgart,"German Bundesliga, UEFA Europa League",RB,Defender,TOG,25,59.8,1041,15,3.99
Lorenzo Bernasconi,Atalanta,"Italian Serie A, UEFA Champions League",WB,Midfielder,ITA,22,50.0,820,12,4.17
Lorenzo Colombo,Genoa,Italian Serie A,AM,Forward,ITA,23,62.2,971,18,3.46
Lorenzo De Silvestri,Bologna,Italian Serie A,RB,Defender,ITA,37,24.4,271,7,3.49
Lorenzo Lucca,Napoli,"Italian Serie A, UEFA Champions League",AM,Forward,ITA,25,47.0,500,18,2.61
Lorenzo Pellegrini,Roma,"Italian Serie A, UEFA Europa League",AM,Forward,ITA,29,92.3,955,17,5.43
Lorenzo Pirola,Olympiacos,UEFA Champions League,CB,Defender,ITA,23,24.5,495,6,4.08
Lorenzo Scipioni,Olympiacos,UEFA Champions League,DM,Midfielder,ARG,20,4.9,24,2,2.45
Lorenzo Venturino,Genoa,Italian Serie A,LB,Defender,ITA,19,10.6,39,2,5.3
Loris Benito,Young Boys,UEFA Europa League,CB,Defender,SUI,33,28.2,450,5,5.64
Lorran,Pisa,Italian Serie A,RM,Midfielder,BRA,19,20.2,76,6,3.37
Louis Buffon,Pisa,Italian Serie A,AM,Forward,CZE,17,3.4,32,4,0.85
Louis Leroux,Nantes,French Ligue 1,CM,Midfielder,FRA,19,53.4,959,13,4.11
Louis Mouton,Angers,French Ligue 1,AM,Forward,FRA,23,65.4,1051,16,4.09
Louis Oppie,St. Pauli,German Bundesliga,WB,Midfielder,GER,23,60.7,1266,15,4.05
Louis Patris,Union SG,UEFA Champions League,WB,Midfielder,BEL,24,8.3,35,3,2.77
Louis Schaub,Rapid Wien,UEFA Europa Conference League,RW,Forward,AUT,30,25.7,258,6,4.28
Louka Prip,Jagiellonia,UEFA Europa Conference League,RW,Forward,DEN,28,13.4,99,4,3.35
Loum Tchaouna,Burnley,English Premier League,AM,Forward,FRA,22,54.7,760,16,3.42
Lovro Majer,Wolfsburg,German Bundesliga,AM,Forward,CRO,27,65.7,758,12,5.48
Loïc Bade,Leverkusen,"German Bundesliga, UEFA Champions League",CB,Defender,FRA,25,103.5,1467,20,5.18
Loïc Nego,Le Havre,French Ligue 1,RB,Defender,HUN,34,82.7,1316,16,5.17
Loïs Openda,"Juventus, RB Leipzig","German Bundesliga, Italian Serie A, UEFA Champions League",AM,Forward,BEL,25,83.9,746,21,4.0
Luca Jaquez,Stuttgart,"German Bundesliga, UEFA Europa League",CB,Defender,SUI,22,40.9,675,9,4.54
Luca Kerber,Heidenheim,German Bundesliga,CM,Midfielder,GER,23,19.3,375,9,2.14
Luca Koleosho,Espanyol,Spanish La Liga,LM,Midfielder,ITA,21,12.9,63,3,4.3
Luca Lipani,Sassuolo,Italian Serie A,RM,Midfielder,ITA,20,21.2,199,5,4.24
Luca Marianucci,Napoli,Italian Serie A,CB,Defender,ITA,21,4.4,90,1,4.4
Luca Mazzitelli,Cagliari,Italian Serie A,CM,Midfielder,ITA,30,25.0,240,8,3.12
Luca Meirelles,Shakhtar,UEFA Europa Conference League,AM,Forward,BRA,18,21.3,268,6,3.55
Luca Moro,Sassuolo,Italian Serie A,AM,Forward,ITA,24,13.5,83,7,1.93
Luca Netz,Gladbach,German Bundesliga,LB,Defender,GER,22,45.1,667,11,4.1
Luca Pellegrini,Lazio,Italian Serie A,LB,Defender,ITA,26,71.0,775,14,5.07
Luca Ranieri,Fiorentina,"Italian Serie A, UEFA Europa Conference League",CB,Defender,ITA,26,77.4,1516,19,4.07
Luca Waldschmidt,Köln,German Bundesliga,AM,Forward,GER,29,38.8,371,10,3.88
Luca-Constantin Basceanu,CS U Craiova,UEFA Europa Conference League,AM,Forward,ROU,19,1.2,21,2,0.6
Lucas,Burnley,English Premier League,LB,Defender,BRA,24,30.5,412,6,5.08
Lucas Ahijado,Oviedo,Spanish La Liga,RB,Defender,ESP,30,39.1,596,8,4.89
Lucas Beltrán,Valencia,Spanish La Liga,AM,Forward,ARG,24,59.2,616,15,3.95
Lucas Beraldo,Paris S-G,French Ligue 1,CB,Defender,BRA,22,48.6,644,9,5.4
Lucas Bergvall,Tottenham,"English Premier League, UEFA Champions League",AM,Forward,SWE,19,71.4,1046,20,3.57
Lucas Boyé,Alavés,Spanish La Liga,AM,Forward,ARG,29,59.7,957,13,4.59
Lucas Da Cunha,Como,Italian Serie A,DM,Midfielder,FRA,24,72.8,1144,15,4.85
Lucas Digne,Aston Villa,"English Premier League, UEFA Europa League",LB,Defender,FRA,32,90.8,1246,22,4.13
Lucas Ferreira,Shakhtar,UEFA Europa Conference League,RM,Midfielder,BRA,19,28.9,445,6,4.82
Lucas Gourna-Douath,RB Salzburg,UEFA Europa League,DM,Midfielder,FRA,22,1.0,1,1,1.0
Lucas Hernández,Paris S-G,"French Ligue 1, UEFA Champions League",LB,Defender,FRA,29,76.9,983,15,5.13
Lucas Höler,Freiburg,"German Bundesliga, UEFA Europa League",AM,Forward,GER,31,57.5,1088,17,3.38
Lucas Høgsberg,Strasbourg,"French Ligue 1, UEFA Europa Conference League",CB,Defender,DEN,19,81.6,1374,17,4.8
Lucas Michal,Monaco,"French Ligue 1, UEFA Champions League",CM,Midfielder,FRA,20,6.7,85,3,2.23
Lucas Oliveira Rosa,Ajax,UEFA Champions League,RB,Defender,BRA,25,16.3,263,3,5.43
Lucas Paquetá,West Ham,English Premier League,AM,Forward,BRA,28,90.8,1451,17,5.34
Lucas Rosier,Rennes,French Ligue 1,AM,Forward,FRA,18,0.3,2,2,0.15
Lucas Torreira,Galatasaray,UEFA Champions League,DM,Midfielder,URU,29,24.6,535,6,4.1
Lucas Torró,Osasuna,Spanish La Liga,CM,Midfielder,ESP,31,60.9,1250,17,3.58
Lucas Tousart,Brest,French Ligue 1,DM,Midfielder,FRA,28,28.5,308,10,2.85
Lucas Vázquez,Leverkusen,"German Bundesliga, UEFA Champions League",WB,Midfielder,ESP,34,22.3,329,6,3.72
Luciano Valente,Feyenoord,UEFA Europa League,DM,Midfielder,NED,22,35.6,442,6,5.93
Lucien Agoume,Sevilla,Spanish La Liga,DM,Midfielder,FRA,23,76.6,1136,15,5.11
Luck Zogbé,Brest,French Ligue 1,RW,Defender,CIV,20,5.3,93,4,1.32
Ludovic Ajorque,Brest,French Ligue 1,AM,Forward,FRA,31,70.1,1403,16,4.38
Ludovic Blas,Rennes,French Ligue 1,CM,Midfielder,FRA,28,70.3,703,15,4.69
Luis Díaz,Bayern Munich,"German Bundesliga, UEFA Champions League",LW,Forward,COL,28,133.2,1422,18,7.4
Luis Enrique Palma,Lech Poznań,UEFA Europa Conference League,AM,Forward,HON,25,29.7,422,6,4.95
Luis Guilherme,West Ham,English Premier League,LW,Forward,BRA,19,10.7,124,5,2.14
Luis Henrique,Inter,"Italian Serie A, UEFA Champions League",WB,Midfielder,BRA,24,62.1,743,15,4.14
Luis Javier Suárez,Sporting CP,UEFA Champions League,AM,Forward,COL,28,28.2,389,6,4.7
Luis Milla,Getafe,Spanish La Liga,CM,Midfielder,ESP,31,87.2,1484,17,5.13
Luis Rioja,Valencia,Spanish La Liga,RM,Midfielder,ESP,32,80.8,1114,17,4.75
Luiz Felipe,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",CB,Defender,ITA,28,34.8,462,9,3.87
Luka Ilić,Oviedo,Spanish La Liga,AM,Forward,SRB,26,31.3,543,13,2.41
Luka Ivanušec,PAOK,UEFA Europa League,AM,Forward,CRO,27,20.7,167,4,5.18
Luka Jović,AEK Athens,UEFA Europa Conference League,AM,Forward,SRB,27,27.2,472,6,4.53
Luka Menalo,Rijeka,UEFA Europa Conference League,CM,Midfielder,BIH,29,10.2,168,4,2.55
Luka Modrić,Milan,Italian Serie A,CM,Midfielder,CRO,40,102.8,1482,17,6.05
Luka Stojkovic,Dinamo Zagreb,UEFA Europa League,AM,Forward,CRO,22,19.9,117,5,3.98
Luka Sučić,Real Sociedad,Spanish La Liga,CM,Midfielder,CRO,23,23.9,202,6,3.98
Luka Vušković,Hamburger SV,German Bundesliga,CB,Defender,CRO,18,63.8,1170,13,4.91
Luka Zarić,Red Star,UEFA Europa League,LW,Forward,SRB,16,2.5,10,1,2.5
Lukas Grgic,Rapid Wien,UEFA Europa Conference League,DM,Midfielder,AUT,30,16.3,277,4,4.08
Lukas Klostermann,RB Leipzig,German Bundesliga,RB,Defender,GER,29,10.4,6,4,2.6
Lukas Kübler,Freiburg,"German Bundesliga, UEFA Europa League",RB,Defender,GER,33,77.8,1173,16,4.86
Lukas Lerager,FC Copenhagen,UEFA Champions League,CM,Midfielder,DEN,32,20.3,450,5,4.06
Lukas Nmecha,Leeds United,English Premier League,AM,Forward,GER,27,41.1,598,16,2.57
Lukas Ullrich,Gladbach,German Bundesliga,LB,Defender,GER,21,49.6,645,11,4.51
Luke McCowan,Celtic,UEFA Europa League,RW,Forward,SCO,27,4.5,62,1,4.5
Luke O'Nien,Sunderland,English Premier League,LB,Defender,ENG,31,4.3,3,2,2.15
Luke Shaw,Manchester Utd,English Premier League,CB,Defender,ENG,30,96.9,1728,20,4.85
Lukáš Haraslín,Sparta Prague,UEFA Europa Conference League,LW,Forward,SVK,29,37.7,318,5,7.54
Lukáš Provod,Slavia Prague,UEFA Champions League,AM,Forward,CZE,29,35.6,520,6,5.93
Lukáš Sadílek,Sparta Prague,UEFA Europa Conference League,CM,Midfielder,CZE,29,12.4,116,2,6.2
Lukáš Červ,Viktoria Plzeň,UEFA Europa League,CM,Midfielder,CZE,24,23.3,537,6,3.88
Lutsharel Geertruida,Sunderland,English Premier League,CB,Defender,NED,25,55.0,899,16,3.44
Luuk de Jong,Porto,UEFA Europa League,AM,Forward,NED,35,1.3,18,1,1.3
Luís Gustavo Ledes,AÉK Lárnaka,UEFA Europa Conference League,DM,Midfielder,POR,33,25.0,540,6,4.17
Luís Mata,Qaırat Almaty,UEFA Champions League,LB,Defender,POR,28,25.6,439,5,5.12
Lyes Houri,CS U Craiova,UEFA Europa Conference League,CM,Midfielder,FRA,29,18.7,76,5,3.74
Lyle Foster,Burnley,English Premier League,AM,Forward,RSA,25,46.5,869,13,3.58
Lynnt Audoor,Club Brugge,UEFA Champions League,CM,Midfielder,BEL,22,7.4,78,3,2.47
Léo Leroy,Basel,UEFA Europa League,DM,Midfielder,FRA,25,31.5,474,6,5.25
Léo Pétrot,Elche,Spanish La Liga,CB,Defender,FRA,28,52.3,485,15,3.49
Léo Scienza,Heidenheim,German Bundesliga,AM,Forward,BRA,26,10.9,180,2,5.45
M'Bala Nzola,Pisa,Italian Serie A,AM,Forward,ANG,29,70.0,962,15,4.67
Mads Bech Sørensen,Midtjylland,UEFA Europa League,CB,Defender,DEN,26,25.9,540,6,4.32
Mads Bidstrup,RB Salzburg,UEFA Europa League,CM,Midfielder,DEN,24,15.5,269,3,5.17
Mads Emil Madsen,FC Copenhagen,UEFA Champions League,CM,Midfielder,DEN,27,14.0,162,5,2.8
Mads Hansen,Brann,UEFA Europa League,RM,Midfielder,DEN,23,4.9,51,3,1.63
Mads Pedersen,Augsburg,German Bundesliga,WB,Midfielder,DEN,29,10.2,77,3,3.4
Mads Sande,Brann,UEFA Europa League,RM,Midfielder,NOR,27,5.9,24,3,1.97
Maghnes Akliouche,Monaco,"French Ligue 1, UEFA Champions League",AM,Forward,FRA,23,132.8,1817,22,6.04
Magnus Riisnæs,Bodø/Glimt,UEFA Champions League,RB,Defender,NOR,20,7.5,26,1,7.5
Magomed Ozdoyev,PAOK,UEFA Europa League,DM,Midfielder,RUS,33,20.3,276,5,4.06
Mahamadou Nagida,Rennes,French Ligue 1,RB,Defender,CMR,20,16.9,85,5,3.38
Mahdi Camara,Rennes,French Ligue 1,CM,Midfielder,FRA,27,65.9,1160,15,4.39
Mahmoud Dahoud,Eint Frankfurt,"German Bundesliga, UEFA Champions League",CM,Midfielder,GER,29,33.0,477,10,3.3
Mahmudu Bajo,Red Star,UEFA Europa League,DM,Midfielder,GAM,21,7.1,19,3,2.37
Maho Dorgelès,Braga,UEFA Europa League,WB,Midfielder,CIV,21,5.1,35,1,5.1
Malang Sarr,Lens,French Ligue 1,CB,Defender,FRA,26,78.4,1440,16,4.9
Malcolm Edjouma,FCSB,UEFA Europa League,DM,Midfielder,FRA,29,14.3,132,4,3.58
Malcolm Jeng,Feyenoord,UEFA Europa League,CB,Defender,SWE,20,4.7,61,1,4.7
Malick Fofana,Lyon,"French Ligue 1, UEFA Europa League",LW,Forward,BEL,20,73.9,880,12,6.16
Malick Mbaye,Metz,French Ligue 1,RW,Forward,SEN,21,10.7,211,4,2.68
Malick Thiaw,Newcastle Utd,"English Premier League, UEFA Champions League",CB,Defender,GER,24,105.8,1921,23,4.6
Malik Tillman,Leverkusen,"German Bundesliga, UEFA Champions League",AM,Forward,USA,23,86.5,1149,16,5.41
Malo Gusto,Chelsea,"English Premier League, UEFA Champions League",RB,Defender,FRA,22,108.6,1384,22,4.94
Malthe Hojholt,Pisa,Italian Serie A,CM,Midfielder,DEN,24,14.4,261,6,2.4
Mama Samba Baldé,Brest,French Ligue 1,AM,Forward,GNB,30,55.5,635,13,4.27
Mamadou Coulibaly,Monaco,"French Ligue 1, UEFA Champions League",CM,Midfielder,FRA,21,79.7,1064,17,4.69
Mamadou Diakhon,Club Brugge,UEFA Champions League,AM,Forward,FRA,20,11.3,79,5,2.26
Mamadou Sangare,Lens,French Ligue 1,CM,Midfielder,MLI,23,87.9,1227,15,5.86
Mamadou Sarr,Strasbourg,French Ligue 1,CB,Defender,FRA,19,9.4,180,2,4.7
Mamadou Sarr,Strasbourg,"French Ligue 1, UEFA Europa Conference League",CB,Defender,SEN,20,49.7,1035,12,4.14
Mamadou Soumahoro,KF Drita,UEFA Europa Conference League,AM,Forward,CIV,20,11.7,223,5,2.34
Mamadou Thiam,FCSB,UEFA Europa League,LW,Forward,SEN,30,17.5,272,6,2.92
Mamady Diambou,RB Salzburg,UEFA Europa League,CM,Midfielder,MLI,22,2.6,57,1,2.6
Mamoudou Cissokho,Auxerre,French Ligue 1,LW,Forward,FRA,17,0.0,1,1,0.0
Mandela Keita,Parma,Italian Serie A,CM,Midfielder,BEL,23,68.6,1292,16,4.29
Mandi,Red Imps,UEFA Europa Conference League,CM,Midfielder,ESP,36,25.1,441,5,5.02
Manolis Saliakas,St. Pauli,German Bundesliga,RB,Defender,GRE,29,39.3,452,8,4.91
Manor Solomon,"Fiorentina, Villarreal","Italian Serie A, Spanish La Liga, UEFA Champions League",LM,Midfielder,ISR,26,35.5,239,9,3.94
Manu Bueno,Sevilla,Spanish La Liga,AM,Forward,ESP,21,9.5,63,3,3.17
Manu Fernández,Celta Vigo,"Spanish La Liga, UEFA Europa League",CB,Defender,ESP,24,51.2,911,13,3.94
Manu Koné,Roma,"Italian Serie A, UEFA Europa League",CM,Midfielder,FRA,24,109.9,1799,23,4.78
Manu Morlanes,Mallorca,Spanish La Liga,DM,Midfielder,ESP,26,64.2,883,15,4.28
Manu Sánchez,Levante,Spanish La Liga,LB,Defender,ESP,25,71.9,1301,15,4.79
Manuel Akanji,Inter,"Italian Serie A, UEFA Champions League",CB,Defender,SUI,30,91.0,1699,21,4.33
Manuel De Luca,Cremonese,Italian Serie A,AM,Forward,ITA,27,5.9,16,2,2.95
Manuel Lazzari,Lazio,Italian Serie A,RB,Defender,ITA,32,50.0,394,12,4.17
Manuel Locatelli,Juventus,"Italian Serie A, UEFA Champions League",CM,Midfielder,ITA,27,133.5,1701,23,5.8
Manuel Manu,Benfica,UEFA Champions League,CM,Midfielder,POR,24,2.0,1,1,2.0
Manuel Ugarte,Manchester Utd,English Premier League,CM,Midfielder,URU,24,52.4,598,12,4.37
Manuel Ugarte Ribeiro,Manchester Utd,English Premier League,CM,Midfielder,URU,24,6.7,48,2,3.35
Marash Kumbulla,Mallorca,Spanish La Liga,CB,Defender,ALB,25,21.7,240,5,4.34
Marc Aguado,Elche,Spanish La Liga,CM,Midfielder,ESP,25,63.9,1144,17,3.76
Marc Bartra,Betis,"Spanish La Liga, UEFA Europa League",CB,Defender,ESP,34,79.1,1268,15,5.27
Marc Bernal,Barcelona,"Spanish La Liga, UEFA Champions League",DM,Midfielder,ESP,18,20.6,150,9,2.29
Marc Casado,Barcelona,"Spanish La Liga, UEFA Champions League",DM,Midfielder,ESP,22,60.1,715,16,3.76
Marc Cucurella,Chelsea,"English Premier League, UEFA Champions League",LB,Defender,ESP,27,121.1,1954,23,5.27
Marc Domenech,Mallorca,Spanish La Liga,RM,Forward,ESP,19,19.4,215,7,2.77
Marc Giger,Union SG,UEFA Champions League,AM,Forward,SUI,21,17.9,125,5,3.58
Marc Guiu,"Chelsea, Sunderland","English Premier League, UEFA Champions League",AM,Forward,ESP,19,30.8,299,10,3.08
Marc Guéhi,Crystal Palace,"English Premier League, UEFA Europa Conference League",CB,Defender,ENG,25,116.7,2142,25,4.67
Marc Pubill,Atlético Madrid,"Spanish La Liga, UEFA Champions League",CB,Defender,ESP,22,46.1,609,10,4.61
Marc Roca,Betis,"Spanish La Liga, UEFA Europa League",DM,Midfielder,ESP,29,64.6,1027,16,4.04
Marc-Oliver Kempf,Como,Italian Serie A,CB,Defender,GER,30,59.6,816,15,3.97
Marcel Sabitzer,Dortmund,"German Bundesliga, UEFA Champions League",CM,Midfielder,AUT,31,63.2,1080,17,3.72
Marcelina Emerson,Ħamrun Spartans FC,UEFA Europa Conference League,CB,Defender,BRA,34,25.7,434,5,5.14
Marcelo Saracchi,Celtic,UEFA Europa League,LB,Defender,URU,27,8.4,54,2,4.2
Marco Asensio,Fenerbahçe,UEFA Europa League,CM,Midfielder,ESP,29,24.0,324,5,4.8
Marco Brescianini,Atalanta,"Italian Serie A, UEFA Champions League",CM,Midfielder,ITA,25,37.8,186,10,3.78
Marco Burch,Legia Warsaw,UEFA Europa Conference League,CB,Defender,SUI,25,11.1,180,2,5.55
Marco Esteban,Oviedo,Spanish La Liga,CB,Defender,ESP,19,1.3,45,1,1.3
Marco Friedl,Werder Bremen,German Bundesliga,LB,Defender,AUT,27,73.6,1218,14,5.26
Marco Grüll,Werder Bremen,German Bundesliga,AM,Forward,AUT,27,81.4,1048,15,5.43
Marco Palestra,Cagliari,Italian Serie A,WB,Midfielder,ITA,20,71.9,1442,17,4.23
Marco Tilio,Rapid Wien,UEFA Europa Conference League,LW,Forward,AUS,24,4.9,45,1,4.9
Marcos Alonso,Celta Vigo,"Spanish La Liga, UEFA Europa League",CB,Defender,ESP,35,98.7,1524,18,5.48
Marcos Llorente,Atlético Madrid,"Spanish La Liga, UEFA Champions League",RB,Defender,ESP,30,98.9,1533,19,5.21
Marcos López,FC Copenhagen,UEFA Champions League,LB,Defender,PER,26,32.5,478,6,5.42
Marcos Senesi,Bournemouth,English Premier League,CB,Defender,ARG,28,109.7,1668,19,5.77
Marcus Edwards,Burnley,English Premier League,AM,Forward,ENG,27,45.8,314,10,4.58
Marcus Pedersen,Torino,Italian Serie A,WB,Midfielder,NOR,25,52.9,1099,14,3.78
Marcus Rashford,Barcelona,"Spanish La Liga, UEFA Champions League",LW,Forward,ENG,28,158.2,1525,24,6.59
Marcus Rohdén,AÉK Lárnaka,UEFA Europa Conference League,RM,Forward,SWE,34,13.1,180,2,6.55
Marcus Tavernier,Bournemouth,English Premier League,AM,Forward,ENG,26,112.0,1603,20,5.6
Marcus Thuram,Inter,"Italian Serie A, UEFA Champions League",AM,Forward,FRA,28,96.9,1066,17,5.7
Marcão,Sevilla,Spanish La Liga,CB,Defender,BRA,29,48.8,938,13,3.75
Mariano,Alavés,Spanish La Liga,AM,Forward,DOM,32,17.1,280,9,1.9
Mariano Troilo,Parma,Italian Serie A,CB,Defender,ARG,22,16.4,247,5,3.28
Marijan Ćavar,Zrinjski Mostar,UEFA Europa Conference League,DM,Midfielder,BIH,27,5.3,65,4,1.33
Marin Jakoliš,FC Noah,UEFA Europa Conference League,LM,Forward,CRO,28,14.3,230,4,3.58
Marin Pongračić,Fiorentina,"Italian Serie A, UEFA Europa Conference League",CB,Defender,CRO,28,94.9,1884,21,4.52
Marin Šotiček,Basel,UEFA Europa League,LM,Midfielder,CRO,21,16.2,161,5,3.24
Mario Dorgeless,Braga,UEFA Europa League,AM,Forward,CIV,21,4.4,25,1,4.4
Mario Gila,Lazio,Italian Serie A,CB,Defender,ESP,25,80.3,1474,17,4.72
Mario Götze,Eint Frankfurt,"German Bundesliga, UEFA Champions League",AM,Forward,GER,33,55.2,734,16,3.45
Mario Hermoso,Roma,"Italian Serie A, UEFA Europa League",CB,Defender,ESP,30,83.1,1431,19,4.37
Mario Kvesić,NK Celje,UEFA Europa Conference League,LM,Midfielder,BIH,33,33.5,477,6,5.58
Mario Lemina,Galatasaray,UEFA Champions League,DM,Midfielder,GAB,32,17.2,293,4,4.3
Mario Martín,Getafe,Spanish La Liga,CM,Midfielder,ESP,21,61.5,1109,17,3.62
Mario Pašalić,Atalanta,"Italian Serie A, UEFA Champions League",CM,Midfielder,CRO,30,81.3,1293,20,4.06
Mario Sauer,Toulouse,French Ligue 1,CM,Midfielder,SVK,21,39.8,498,13,3.06
Mario Čuže,Zrinjski Mostar,UEFA Europa Conference League,LW,Forward,CRO,26,16.8,220,4,4.2
Marius Broholm,Lille,"French Ligue 1, UEFA Europa League",RW,Forward,NOR,21,35.5,311,8,4.44
Marius Bülter,Köln,German Bundesliga,AM,Forward,GER,32,57.5,740,13,4.42
Marius Courcoul,Angers,French Ligue 1,DM,Midfielder,FRA,19,34.1,249,13,2.62
Marius Lode,Häcken,UEFA Europa Conference League,CB,Defender,NOR,32,21.3,186,4,5.32
Marius Louer,Angers,French Ligue 1,RB,Defender,FRA,18,4.5,11,1,4.5
Marius Marin,Pisa,Italian Serie A,CM,Midfielder,ROU,27,45.9,737,13,3.53
Marius Mouandilmadji,Samsunspor,UEFA Europa Conference League,AM,Forward,CHA,28,22.0,540,6,3.67
Marius Wolf,Augsburg,German Bundesliga,WB,Midfielder,GER,30,33.7,399,11,3.06
Mark Coyle,Shelbourne FC,UEFA Europa Conference League,CB,Defender,IRL,28,26.2,497,7,3.74
Mark McKenzie,Toulouse,French Ligue 1,CB,Defender,USA,26,59.3,1357,16,3.71
Marko Arnautović,Red Star,UEFA Europa League,AM,Forward,AUT,36,30.3,406,6,5.05
Marko Bulat,Raków,UEFA Europa Conference League,LW,Forward,CRO,24,17.3,197,4,4.32
Marko Grujić,AEK Athens,UEFA Europa Conference League,CM,Midfielder,SRB,29,18.2,96,5,3.64
Marko Janković,Qarabağ,UEFA Champions League,DM,Midfielder,MNE,30,25.5,381,5,5.1
Marko Lazetić,Aberdeen,UEFA Europa Conference League,AM,Forward,SRB,21,24.6,385,6,4.1
Marko Soldo,Dinamo Zagreb,UEFA Europa League,CM,Midfielder,CRO,22,5.6,91,2,2.8
Marko Tolić,Slovan Bratislava,UEFA Europa Conference League,AM,Forward,CRO,29,17.1,157,3,5.7
Marko Vranjković,Zrinjski Mostar,UEFA Europa Conference League,RB,Defender,CRO,26,16.3,270,3,5.43
Markus Haaland,Brann,UEFA Europa League,AM,Forward,NOR,20,15.0,140,4,3.75
Marli Salmon,Arsenal,UEFA Champions League,RB,Defender,ENG,16,1.6,8,1,1.6
Marlon Gomes,Shakhtar,UEFA Europa Conference League,CM,Midfielder,BRA,22,13.2,176,3,4.4
Marnon Busch,Heidenheim,German Bundesliga,CB,Defender,GER,31,67.1,845,15,4.47
Maroan Sannadi,Athletic Club,"Spanish La Liga, UEFA Champions League",AM,Forward,MAR,24,26.4,337,9,2.93
Marquinhos,Paris S-G,"French Ligue 1, UEFA Champions League",CB,Defender,BRA,31,56.7,827,12,4.73
Marshall Munetsi,Wolves,English Premier League,CM,Midfielder,ZIM,29,44.7,874,13,3.44
Marten de Roon,Atalanta,"Italian Serie A, UEFA Champions League",CM,Midfielder,NED,34,86.6,1669,21,4.12
Martial Godo,Strasbourg,"French Ligue 1, UEFA Europa Conference League",AM,Forward,ENG,22,66.8,766,17,3.93
Martijn Kaars,St. Pauli,German Bundesliga,AM,Forward,NED,26,41.6,588,12,3.47
Martim Fernandes,Porto,UEFA Europa League,RB,Defender,POR,19,26.8,252,5,5.36
Martim Neto,Elche,Spanish La Liga,CM,Midfielder,POR,22,68.0,776,14,4.86
