Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Jakub Markovič,Slavia Prague,UEFA Champions League,GK,Goalkeeper,CZE,24,15.47,180,2,7.74
James Trafford,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,ENG,23,24.53,360,4,6.13
Jan Koutny,Sigma Olomouc,UEFA Europa Conference League,GK,Goalkeeper,CZE,21,32.31,540,6,5.39
Jan Oblak,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,SVN,32,130.48,2070,23,5.67
Jari De Busser,Go Ahead Eag,UEFA Europa League,GK,Goalkeeper,BEL,26,40.56,540,6,6.76
Jaylan Hankins,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,GIB,25,27.65,450,5,5.53
Jean Butez,Como,Italian Serie A,GK,Goalkeeper,FRA,30,124.06,1710,19,6.53
Jeffrey De Lange,Marseille,French Ligue 1,GK,Goalkeeper,NED,27,14.69,270,3,4.9
Jindřich Staněk,Slavia Prague,UEFA Champions League,GK,Goalkeeper,CZE,29,28.91,360,4,7.23
Jiří Pavlenka,PAOK,UEFA Europa League,GK,Goalkeeper,CZE,33,23.92,360,4,5.98
Joan García,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,ESP,24,96.5,1440,16,6.03
Johannes Kreidl,KuPS,UEFA Europa Conference League,GK,Goalkeeper,AUT,29,45.33,540,6,7.56
John,Nott'ham Forest,"English Premier League, UEFA Europa League",GK,Goalkeeper,BRA,29,37.52,707,8,4.69
Jonas Urbig,Bayern Munich,German Bundesliga,GK,Goalkeeper,GER,22,17.57,270,3,5.86
Jonathan Fischer,Metz,French Ligue 1,GK,Goalkeeper,DEN,24,95.17,1454,17,5.6
Jordan Pickford,Everton,English Premier League,GK,Goalkeeper,ENG,31,136.28,1890,21,6.49
Josep Martinez,Inter,Italian Serie A,GK,Goalkeeper,ESP,27,11.48,180,2,5.74
José Luis García Vayá,Valencia,Spanish La Liga,GK,Goalkeeper,ESP,27,3.69,1,1,3.69
José Sá,Wolves,English Premier League,GK,Goalkeeper,POR,32,43.42,810,9,4.82
João Virgínia,Sporting CP,UEFA Champions League,GK,Goalkeeper,POR,25,4.65,90,1,4.65
Juan Musso,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,ARG,31,10.43,180,2,5.22
Julen Agirrezabala,Valencia,Spanish La Liga,GK,Goalkeeper,ESP,25,97.52,1619,18,5.42
