Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
it ITA,MF,Catanzaro,20,2003,26,6,787,69,44,56,52
it ITA,DF,Brescia,21,2002,33,28,2551,50,55,48,56
it ITA,DF,Cosenza,34,1988,13,8,680,65,81,81,26
it ITA,GK,Catanzaro,29,1993,1,1,90,40,43,49,40
it ITA,GK,Modena,33,1990,17,16,1487,50,68,46,36
it ITA,MF,Cittadella,23,1999,23,14,1125,51,50,58,23
dk DEN,GK,Cremonese,21,2002,18,18,1620,57,57,47,41
dk DEN,DF,Colorado Rapids,29,1994,34,34,3060,32,42,28,33
dk DEN,FW,Club Brugge,23,1999,28,25,2126,77,89,88,66
de GER,MF,Millwall,31,1992,2,0,46,29,27,45,62
at AUT,MO,West Brom,31,1991,32,13,1226,42,45,20,52
us USA,MO,NYCFC,22,2002,3,2,157,21,21,30,79
mx MEX,MF,Mazatlán,21,2002,25,23,1904,74,72,70,37
es ESP,DF,Sporting KC,34,1989,17,16,1409,32,68,42,39
br BRA,GK,Gil Vicente FC,22,2001,32,32,2880,46,40,45,47
